Representation,Feature_Selection,Top_K,Model,Accuracy,Precision,Recall,F1_score,ROC_AUC,Log_Loss,Training_Time
BoW,Chi-square,20,Logistic Regression,0.7996186514127231,0.9026568941823179,0.6762182566918326,0.7731999215224642,0.9039870929277947,0.37639282902793614,0.32965970039367676
BoW,Chi-square,20,Random Forest,0.8062922516900676,0.904161979752531,0.689601921757035,0.7824394042636036,0.911858462738612,0.4434100519012283,2.584690570831299
BoW,Chi-square,20,LinearSVC,0.7991853007453632,0.9021764032073311,0.675703500343171,0.7726871382321201,0.9037544759461842,0.37656941360330626,0.6961967945098877
BoW,Chi-square,40,Logistic Regression,0.8206794938464205,0.9162790697674419,0.7098490048043926,0.7999613265010151,0.9242030742342962,0.33558499672830117,1.031954050064087
BoW,Chi-square,40,Random Forest,0.8391402322759577,0.9200507614213198,0.7463967055593685,0.8241758241758241,0.9397149547988033,0.3691448616660153,4.7929956912994385
BoW,Chi-square,40,LinearSVC,0.8190327613104524,0.9144503546099291,0.7079615648593,0.7980657640232108,0.9238091188501191,0.3356992716215411,1.4089758396148682
BoW,Chi-square,100,Logistic Regression,0.84399375975039,0.9032839407288746,0.7740219629375429,0.8336721493254482,0.9469554400701007,0.28010352336900113,0.5182662010192871
BoW,Chi-square,100,Random Forest,0.8654879528514474,0.8326073428749222,0.9183253260123542,0.8733681462140992,0.9567845517803418,0.2770616990353273,8.2695152759552
BoW,Chi-square,100,LinearSVC,0.844080429883862,0.9072164948453608,0.7700754975978037,0.8330394431554524,0.9468134238118533,0.28002396598837964,2.541978597640991
BoW,Chi-square,200,Logistic Regression,0.8523140925637025,0.8968437259430331,0.7995881949210707,0.8454281567489115,0.9537332606524213,0.25793966586364686,1.3313038349151611
BoW,Chi-square,200,Random Forest,0.8784018027387762,0.8611065774440999,0.9052848318462594,0.8826432455039732,0.959954765748299,0.2845743239644956,16.45546007156372
BoW,Chi-square,200,LinearSVC,0.8538741549661987,0.9021359223300971,0.7971859986273164,0.8464201129531791,0.9542943240374686,0.25719830496464413,4.289060592651367
BoW,Chi-square,400,Logistic Regression,0.860201074709655,0.8954775755301182,0.818805765271105,0.8554270861342654,0.9588988992087236,0.24157715594326298,1.638073205947876
BoW,Chi-square,400,Random Forest,0.8765817299358641,0.8655378486055777,0.894646533973919,0.8798515018562268,0.9584875448796619,0.28114569781340315,18.51015043258667
BoW,Chi-square,400,LinearSVC,0.8615011267117352,0.9016331181162173,0.814687714481812,0.8559581755904092,0.9595353580216046,0.2419623467197811,2.5774285793304443
BoW,Chi-square,600,Logistic Regression,0.8647945917836714,0.890127970749543,0.8354495538778312,0.8619224641529474,0.9620457943835364,0.2329538535966558,0.807593822479248
BoW,Chi-square,600,Random Forest,0.8789218235396082,0.8786532216715092,0.882120796156486,0.8803835944858293,0.9575677447000831,0.3045666049715669,15.05385160446167
